Idea,Place,Address,Area of City,Price,Link,Date Number,Time of Year,Weekend/Weekday,Indoors/Outdoors,Drinks,Type,Hipster,Romantic,Speakeasy,Description Link,Description
Explore Brooklyn Flea with a Sofia Mini wine in a can,BROOKLYN FLEA MARKET,176 Lafayette Ave. btw. Clermont + Vanderbilt Ave.,Fort Greene,Free,http://brooklynflea.com/,Second,Summer,Weekend,Outdoors,TRUE,None,TRUE,FALSE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"The plan for a perfect lazy Saturday: check out the wares of 100+ vendors while (very discretely) sipping a sparkling wine that comes in a cannister that looks as innocuous as an energy drink -- it's a great way to day drink in style. Oh, and don’t throw out the little straws -- Francis Ford slapped them on when he heard that drinking sparkling wine through a straw makes you get tipsier faster."
Try your hand at the sketchiest golf in Brooklyn,BUSHWICK COUNTRY CLUB,"618 Grand St Brooklyn,  NY  11211",Bushwick,$$,http://www.bushwickcountryclub.com/,Second,Summer,None,Outdoors,TRUE,Sports,FALSE,FALSE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"Hit up the only mini-golf course in town that comes with pickleback shots, and don’t forget to pack your own clubs for this misadventure."
Grab a handful of quarters and challenge your date to pinball,RECIPROCAL SKATEBOARDS,"402 E 11th St New York, New York",East Village,$,https://www.facebook.com/reciprocalskateboards,Second,All,All,Indoors,FALSE,None,TRUE,FALSE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"It may look like a skate shop from the outside (and from the inside, mostly because... it’s a skate shop), but Reciprocal on 11th Street is also a pinball arcade."
Meet for a lunch date by a waterfall,MIDTOWN WATERFALL,"East 53rd & 6th Ave New York,  NY  10019",Midtown,$,http://www.thrillist.com/venues/midtown-waterfalls-10019,Second,Summer,Weekend,Outdoors,FALSE,Nature,TRUE,TRUE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"Enjoy the unusual sensation of eating lunch beside a relaxing waterfall in the center of Midtown Manhattan, just one of the many secret spots in the city you can introduce your date to."
Take in a seriously good jazz show at Shrine,SHRINE WORLD MUSIC VENUE,"2271 Adam Clayton Powell Jr Blvd New York,  NY  10030",Harlem,$$,http://www.shrinenyc.com/,Second,All,All,Indoors,TRUE,Music,FALSE,TRUE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,Head uptown for some of the best jazz in town at a little venue called Shrine. This place (which looks kind of like a bodega on the outside) offers outstanding shows pretty much every night of the week.
Head uptown for some low-cost deliciousness,TACO MIX & AMOR CUBANO,"2018 Third Avenue New York, NY 10029",Harlem,$,http://www.amorcubanonyc.com/,Third,All,All,Indoors,TRUE,None,FALSE,FALSE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"Start off at Taco Mix, a standing room-only joint with the best -- and some of the cheapest -- tacos in the entire city (we defy you to spend more than $10 in this place), then mosey over to Amor Cubano for mojitos and desserts."
Go rock climbing in the middle of the city,STEEP ROCK BOULDERING,"1506 Lexington Avenue, New York NY 10029",Upper East Side,$$$,http://www.srbnyc.com/,Third,All,All,Indoors,FALSE,Sports,FALSE,FALSE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"Head over to Steep Rock Bouldering to try it out together. They don’t take reservations, but someone is always around to give you a quick tour before setting you loose to figure out how to climb walls. Surprising bonus: they’re open 'til 11pm on weekdays."
Get your culture going at Moma PS1 Sunday Sessions,MOMA PS1,"22-25 Jackson Ave Queens,  NY  11101",Queens,$$,http://www.moma.org/,Third,All,Sunday,Indoors,FALSE,Art,TRUE,FALSE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"On Sundays, the museum offers up a live presentation, which may be anything from dance exhibitions to short films to musical collaborations. These performances are recent works by contemporary artists, dusting some of the must off a typical museum date."
Ride the Staten Island Ferry,WHITEHALL FERRY TERMINAL,Whitehall Ferry Terminal in Manhattan,Financial District,$,http://www.siferry.com/,Third,Summer,Weekend,Outdoors,FALSE,None,TRUE,TRUE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"Okay, there may not be a whole lot you want to do once you land in Staten Island (unless you both love pizza), but the boat ride itself -- and view of Lady Liberty -- is well worth the trip."
Get Balkan at the Bulgarian disco,MEHANATA BULGARIAN BAR,"113 Ludlow St New York City, New York 10002",Lower East Side,$$,http://www.mehanata.com/,Third,All,All,Indoors,TRUE,Music,TRUE,TRUE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"Mehanata is some strange magic: this place combines Slavic music, a dance floor, and an ice cage. You and your date can shrug on gigantic overcoats (provided), and enter a freezing room made of ice for two minutes' worth of unlimited shots."
Dinner and a movie redux,NITEHAWK CINEMA,"136 Metropolitan Ave Brooklyn, NY 11249",Williamsburg,$,http://www.nitehawkcinema.com/series/live-sound-cinema/,Third,All,All,Indoors,FALSE,Art,TRUE,TRUE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"The most classic date of all can be a little too obvious. Mix it up a bit with Nitehawk's Live Sound Cinema, wherein a live band plays against a silent film."
Stop by UCB’s Asssscat 3000,UCB CHELSEA,"307 W. 26th St. New York, NY 10001",Chelsea,$,https://chelsea.ucbtheatre.com/,Third,All,All,Indoors,FALSE,None,TRUE,FALSE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"The 9:30pm Sunday night show is free, but be sure to swing by in advance (around 8:15pm) to snag tickets, as they tend to run out. The performances at this long-form improv show feature some of the funniest people in comedy, frequently including writers from SNL and The Colbert Report."
Get a picnic packed by Pappardella and enjoy it at The Cloisters,THE CLOISTERS,"99 Margaret Corbin Dr; Fort Tryon Park New York,  NY  10033",Washington Heights,$,http://www.metmuseum.org/visit/visit-the-cloisters,Third,Summer,Weekend,Outdoors,FALSE,Nature,FALSE,TRUE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"Surprise your date with your knowledge of the gorgeous views Uptown, and with a well-appointed picnic."
Go on a tour of Brooklyn Brewery,BROOKLYN BREWERY,"79 N 11th St Brooklyn,  NY  11211",Williamsburg,Free,http://brooklynbrewery.com/,Third,All,Weekend,Indoors,TRUE,None,TRUE,FALSE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"The brewery offers free, regularly-scheduled tours every Saturday (and they’re only $10 on weekdays). Your opening material is running thin at this point, and this'll fill any silences nicely. So will the beer."
Take in a Friday night burlesque show,HOTEL CHANTELLE,"92 Ludlow St New York,  NY  10002",Lower East Side,$,http://hotelchantelle.com/,Third,All,All,Indoors,TRUE,Music,TRUE,FALSE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"You’ve already been to the dance parties at Hotel Chantelle, but you may not have checked out their awesome ground-floor burlesque show."
Take a stroll on the High Line,TERROIR & THE HIGHLINE,"The High Line New York,  NY  10011",Chelsea,$,http://restauranthearth.com/terrior/Terroir_locations.html,Third,Summer,All,Outdoors,TRUE,None,FALSE,TRUE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"Pop in for a drink at Terroir, where you can share your knowledge of how people are often caught having sex in windows of The Standard."
Head out to Brighton Beach for Russian cuisine,CAFE RESTAURANT VOLNA,"3145 Brighton 4th St Brooklyn, NY 11235",Brighton Beach,$$,https://plus.google.com/105730051772205297891/about?gl=us&hl=en,All,Summer,Weekend,Both,TRUE,Nature,TRUE,TRUE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"Known as “Little Odessa"", Brighton Beach has maybe the best Russian food in the Western hemisphere. Snack on some of the ever-present traditional baked goods (available on basically every street corner), then settle in for a proper meal at Café Restaurant Volna."
Head to Low Brow Artique for an art opening,LOW BROW ARTIQUE,"143 Central Avenue Brooklyn, NY 11221",Bushwick,Free,http://shop.lowbrowartique.com/gallery,Third,All,All,Indoors,TRUE,Art,TRUE,TRUE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"Graffiti shop by day, gallery by... well, also day, but also the occasional evening. Come out for an art opening and introduce your date to the awesome street art, PBR, and creative vibe."
Drink cheap beer and play board games at Boobie Trap,BOOBIE TRAP,"308 Bleecker Street, Brooklyn, NY",Bushwick,$,http://boobietrapbrooklyn.com,Fourth,All,All,Indoors,TRUE,None,TRUE,FALSE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"Get competitive over Candyland in this fun, totally lady-friendly (and woman-owned) jugs-themed bar. Everything in the small space is covered in boobs, boobs, and more boobs, but the atmosphere is playful, really! Try coloring in mildly dirty cartoon pictures with crayons while you wait for a plate of their extra-delicious barbecue."
Take a bartending class at Apotheke,APOTHEKE,"9 Doyers St, New York, NY 10079",Chinatown,$$$,http://www.apothekenyc.com/apotheke-academy,Fourth,All,Weekend,Indoors,TRUE,None,FALSE,FALSE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"If you’re into learning and drinking (remember college?), then you may want to spend a Saturday making and sipping high-quality drinks from the pros. The courses at Apotheke vary from classic cocktails, to the garden-to-glass variety, to absinthe-bases."
Pet a penguin at the Long Island Aquarium,LONG ISLAND AQUARIUM,"431 East Main Street, Riverhead NY 11901",Riverhead,$$,http://www.longislandaquarium.com,Fourth,All,Weekend,Indoors,FALSE,Animals,FALSE,FALSE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"Okay, it’s kind of a hike, so you have to be comfortable enough with each other already to train it, but if getting up close and personal with a penguin sounds like your idea of a good time (and your basic humanity should be questioned if it doesn’t), then consider this a good time."
All-you-can-drink brunch at Amity Hall,AMITY HALL,"80 West 3rd Street, New York, NY 10012",West Village,$$,http://www.amityhallnyc.com,Fourth,All,Weekend,Indoors,TRUE,None,FALSE,FALSE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"This one doubles as a great, immediate follow-up date to a really successful third date. Amity Hall provides one of the best all-you-can-drink brunch deals in the whole city."
Take the standard dinner date to a new level,MIETTE CULINARY STUDIO,"109 Macdougal Street, Suite 2, New York, NY 10012",Little Italy,$$$,http://www.mietteculinarystudio.com,Fifth,All,Weekend,Indoors,FALSE,Foodie,FALSE,TRUE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"Miette Culinary Studio offers one-off cooking classes: try out the butchering demo and masterclass, where you learn to prepare things like ""a whole grilled grass-fed lamb"", or try out one of their delicious -- but less intense -- Italian, Spanish, Indian, or French cooking courses."
Wake up early to go clubbing,DAYBREAKER,Various,TBD,$,http://dybrkr.com,Fifth,All,Weekday,Indoors,FALSE,None,TRUE,FALSE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"Yeah, you read that right: go on one memorable pre-work date at Daybreaker, the rave that starts at 7am. Throw back some espresso shots and get down on the most unlikely dance floor in the city during the time you’d normally be hitting the gym -- stay tuned for their next party."
Get some fun sex tips at Babeland brunch,BABELAND,"94 Rivington St, New York, New York 10002",Lower East Side,Free,http://www.babeland.com/community/stores/lower-east-side,Fifth,All,Weekday,Indoors,FALSE,Naughty,TRUE,TRUE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"Not for the faint of heart, Babeland offers intriguing ideas (and an array of fun toys) for getting frisky, from oral sex tips to spanking, in a regularly scheduled brunch-time lesson (comes with free muffins!)."
Snack on guinea pigs in Queens,EL DORADO CAFE,"10202 Roosevelt Avenue, Corona, NY 11368",Elmhurst,$,http://www.yelp.com/biz/eldorado-cafe-corona,Fifth,All,All,Indoors,FALSE,Foodie,FALSE,FALSE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"Yeah, yeah, they’re really cute, but they’re also high in protein, low-fat, and totally tasty. Get adventurous and try out this staple of Peruvian cuisine at El Dorado Café."
"Go on the ""Satan’s Seat"" walking tour",THE BIG ONION,Various,NoHo,$$$,http://www.bigonion.com,Fifth,Summer,All,Outdoors,FALSE,None,FALSE,TRUE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"Learn all about the culture in New York during the Roaring Twenties, and stop by some of the country’s most notorious speakeasies. Tours with The Big Onion tend to sell out in advance, so book this one about a week out. Packing a flask, while not encouraged, is simply in keeping with the theme."
Squeeze a Realdoll at the Museum of Sex,MUSEUM OF SEX,"233 5th Avenue · New York, New York 10016",Flatiron,$$,http://www.museumofsex.com,Fifth,All,All,Indoors,FALSE,Naughty,FALSE,TRUE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"MoSex is often funny, sometimes clinical, always fascinating, and kind of less erotic than you might expect. But it’ll definitely open up more intriguing conversations between you and your date, and after a tour, you can share an aphrodisiac drink and the self-proclaimed best sticky bun in New York in the café."
Hit up KGB Bar for some beer and poetry,KGB BAR,"85 East 4th Street, New York, NY 10003",East Village,$,http://www.kgbbar.com,Fifth,All,All,Indoors,TRUE,None,FALSE,FALSE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"This Village staple offers readings nightly, but the Monday Night Poetry series stands out. The venue has a full bar, so even if you’re not in love with the poet at hand, you can enjoy a good whiskey, then discuss the details with your date after."
Strap on some masks and take in Sleep No More,SLEEP NO MORE,"530 West 27th Street, New York, NY 10001",Chelsea,$$$,http://sleepnomorenyc.com,Fifth,All,Weekend,Indoors,FALSE,None,FALSE,FALSE,FALSE,http://www.thrillist.com/entertainment/new-york/best-date-ideas-nyc,"Look, if you do Sleep No More together on your fifth date, the immersive strangeness of the experience is going to mean that you’re either dating or you’re about to stop seeing each other. If you’re okay with that gamble, then go forth."
Angel's Share,ANGEL'S SHARE,"8 Stuyvesant St New York,  NY  10003",East Village,$$$,http://www.thrillist.com/venues/angels-share,All,All,All,Indoors,TRUE,Speakeasy,TRUE,TRUE,TRUE,http://www.thrillist.com/drink/new-york/secret-nyc-bar-speakeasy-hidden,"Head to Village Yokocho, find a secret door off of the dining room, and head upstairs to the main attraction: one of the best whiskey bars in the city."
Death & Co,DEATH & CO,"433 E 6th St New York,  NY  10009",East Village,$$$,http://www.deathandcompany.com/,All,All,All,Indoors,TRUE,Speakeasy,TRUE,TRUE,TRUE,http://www.thrillist.com/drink/new-york/best-cocktails-in-new-york,"D&C's a high-end, dimly lit sanctuary for both the casual and professional boozist. And while it may be difficult at times to squeeze past the door, when you make it into the dimly lit spot for mixological excellence, you won't even remember that you waited for 45 minutes in the cold."
PDT,PDT,"113 St. Marks New York,  NY  10009",East Village,$$$,http://pdtnyc.com/,All,All,All,Indoors,TRUE,Speakeasy,TRUE,TRUE,TRUE,http://www.thrillist.com/drink/new-york/secret-nyc-bar-speakeasy-hidden,"Sure, like Death & Co, this place is one of the most famous bars in the world now. But that doesn't change the fact that it's hidden behind a phone booth in Crif Dogs, which is still totally awesome the first time you do it, and meets the requisite barriers for entry to make this place still somewhat-secret."
2nd Floor on Clinton,2ND FLOOR ON CLINTON,"67 Clinton St New York,  NY  10002",Lower East Side,$$$,http://www.2ndflooronclinton.com/,All,All,All,Indoors,TRUE,Speakeasy,TRUE,TRUE,TRUE,http://www.thrillist.com/drink/new-york/secret-nyc-bar-speakeasy-hidden,"Located through and above Barramundi, 2nd Floor on Clinton is a small, table service-only reading room adorned with expertly mixed cocktails, like the Between Dogs & Wolves with mezcal, Velvet Falernum, Byrrh Grand Quinquina, grapefruit, lemon, and Bergamot bitters... which sounds exactly like something you'd get at a secret bar."
Back Room,BACK ROOM,"102 Norfolk St New York,  NY  10002",Lower East Side,$$$,http://www.thrillist.com/venues/back-room,All,All,All,Indoors,TRUE,Speakeasy,TRUE,TRUE,TRUE,http://www.thrillist.com/drink/new-york/secret-nyc-bar-speakeasy-hidden,"Located behind a toy store, this '20s-style speakeasy (which claims to be in the same spot as an actual speakeasy from the '20s) serves its booze in teacups. Plus, on Mondays, you can head over for ""Speakeasy Dollhouse"", an interactive & immersive theater performance that promises ""revolving bookshelves, mystery, and intrigue""."
